time / s, height / m
0.0000, 7.5926
0.3153, 7.5516
0.6305, 5.8908
0.9458, 2.7805
1.2610, 0.0000
1.2610, 0.0000
1.5132, 1.7668
1.7655, 4.2459
2.0177, 5.8660
2.2699, 6.3043
2.5221, 5.8212
2.7743, 5.3834
3.0265, 4.6618
3.2787, 2.3079
3.5309, 0.0000
3.5309, -0.0000
3.7579, 1.5765
3.9849, 3.6734
4.2119, 5.1359
4.4388, 5.3478
4.6658, 5.3381
4.8928, 4.3316
5.1198, 3.3567
5.3468, 2.6413
5.5738, 0.0000
5.5738, 0.0000
5.7781, 1.1464
5.9824, 2.8683
6.1866, 4.1249
6.3909, 3.8189
6.5952, 3.7336
6.7995, 3.5552
7.0038, 2.9541
7.2081, 1.3994
7.4124, 0.0000
7.4124, -0.0000
7.5962, 1.1517
7.7801, 2.1245
7.9640, 2.0580
8.1478, 3.9417
8.3317, 3.2553
8.5155, 2.5022
8.6994, 2.5454
8.8832, 0.8447
9.0671, -0.0000
9.0671, -0.0000
9.2326, 0.6284
9.3981, 2.5666
9.5635, 2.5592
9.7290, 2.8110
9.8945, 2.8212
10.0599, 2.5886
10.2254, 1.3337
10.3909, 0.8843
10.5564, 0.0000
