time [days], distance [m]
10.7391, 124.8079 
10.7440, 110.2225 
10.7446, 53.0094 
10.7456, 82.1340 
10.7475, 34.4384 
10.7576, 53.4135 
10.7583, 122.1188 
10.7584, 37.1214 
10.7654, 25.0799 
10.7656, 95.8853 
10.7772, 64.6220 
10.7781, 50.2494 
10.7826, 82.6196 
10.7831, 99.6243 
10.7840, 111.7721 
10.7843, 10.4403 
10.7868, 22.0907 
10.7885, 145.6022 
10.7937, 129.4488 
10.7940, 89.0449 
10.7966, 95.5196 
10.7972, 106.8925 
10.7974, 115.4340 
10.7977, 77.6981 
10.7980, 163.3707 
10.8002, 99.7246 
10.8008, 70.8025 
10.8011, 58.8558 
10.8013, 136.1910 
10.8018, 19.2354 
10.8019, 33.0000 
10.8020, 51.9711 
10.8028, 100.8960 
10.8030, 137.9021 
10.8032, 60.3738 
10.8032, 75.5050 
10.8037, 18.7883 
10.8049, 47.7598 
10.8051, 27.0185 
10.8052, 77.7817 
10.8057, 60.9016 
10.8058, 31.0000 
10.8059, 109.8362 
10.8063, 39.2938 
10.8065, 162.6038 
10.8066, 135.1629 
10.8070, 160.0031 
10.8071, 40.0250 
10.8076, 80.7527 
10.8077, 69.2026 
10.8079, 28.0179 
10.8081, 70.6045 
10.8082, 51.6624 
10.8086, 47.1699 
10.8089, 154.3017 
10.8092, 88.3912 
10.8107, 34.7131 
10.8108, 34.7851 
10.8111, 36.7696 
10.8115, 40.4475 
10.8119, 94.6414 
10.8122, 55.6058 
10.8128, 81.6884 
10.8130, 39.5601 
10.8131, 41.2311 
10.8133, 53.1601 
10.8136, 19.1050 
10.8138, 64.0078 
10.8143, 19.2354 
10.8143, 54.8179 
10.8151, 54.4518 
10.8154, 10.6301 
10.8157, 99.4585 
10.8158, 83.0060 
10.8162, 68.7314 
10.8165, 29.5296 
10.8167, 111.2520 
10.8175, 84.8999 
10.8178, 35.0571 
10.8188, 26.1725 
10.8200, 73.2462 
10.8205, 35.7771 
10.8208, 64.4438 
10.8209, 50.9313 
10.8212, 76.0592 
10.8214, 72.0069 
10.8216, 200.0025 
10.8220, 63.2456 
10.8220, 62.2013 
10.8223, 43.4166 
10.8232, 18.0278 
10.8241, 48.7032 
10.8256, 68.7677 
10.8259, 49.3964 
10.8268, 30.4631 
10.8277, 28.4253 
10.8280, 51.9711 
10.8303, 76.0592 
10.8306, 66.7083 
10.8313, 75.2728 
10.8330, 138.2787 
10.8333, 62.3699 
10.8336, 64.5136 
10.8337, 31.0161 
10.8345, 151.3968 
10.8347, 131.7346 
10.8369, 140.3567 
10.8383, 103.0922 
10.8384, 94.5304 
10.8391, 74.5252 
10.8402, 23.0868 
10.8405, 99.0051 
10.8414, 122.0041 
10.8420, 132.8495 
10.8420, 48.7647 
10.8430, 59.9083 
10.8475, 83.0963 
10.8484, 23.0217 
10.8493, 18.4391 
10.8500, 32.7567 
10.8505, 82.3772 
10.8538, 51.4782 
10.8556, 26.3059 
10.8559, 43.4166 
10.8594, 92.0272 
10.8599, 60.2163 
10.8611, 63.6396 
10.8614, 97.1288 
10.8630, 135.7682 
10.8643, 116.5204 
10.8666, 103.4456 
10.8697, 47.0956 
10.8730, 58.2409 
10.8749, 50.7740 
10.8763, 40.4969 
10.8783, 64.7765 
10.8814, 29.0689 
10.9012, 47.3814 
10.9043, 134.4061 
10.9084, 100.8018 
10.9156, 16.7631 
10.9175, 152.4631 
10.9673, 90.0056 
11.0461, 133.8805 
11.1762, 103.6002 
11.2035, 126.2894 
11.2057, 120.0167 
11.2636, 103.0776 
11.3970, 92.0217 
11.4078, 67.2309 
12.1694, 72.5672 
12.1720, 89.0955 
12.2037, 100.0000 
12.2069, 64.3506 
13.1657, 94.0213 
13.1686, 113.2166 
13.2004, 110.7881 
