time / s, height / m
0.0000, 2.6038
0.4564, 2.6623
0.9129, 2.0539
1.3693, 0.9048
1.8257, 0.1329
1.8257, 0.2054
2.1909, 1.0271
2.5560, 1.4288
2.9212, 1.6999
3.2863, 2.0206
3.6515, 2.3349
4.0166, 1.9007
4.3818, 1.3512
4.7469, 0.6005
5.1121, 0.0000
5.1121, 0.0303
5.4407, 0.9215
5.7693, 0.9784
6.0980, 1.3519
6.4266, 1.4217
6.7552, 1.5875
7.0839, 1.4721
7.4125, 0.9774
7.7411, 0.8570
8.0698, 0.0000
8.0698, 0.0270
8.3655, 0.4804
8.6613, 0.9888
8.9571, 1.1710
9.2529, 1.4755
9.5486, 1.3823
9.8444, 1.0970
10.1402, 0.9443
10.4359, 0.2166
10.7317, 0.0000
10.7317, 0.1273
10.9979, 0.3567
11.2641, 0.6915
11.5303, 0.8700
11.7965, 1.2751
12.0627, 1.0185
12.3289, 1.1169
12.5951, 0.6976
12.8613, 0.5702
13.1274, 0.2707
13.1274, 0.0000
13.3670, 0.5864
13.6066, 0.4892
13.8462, 0.8651
14.0857, 1.0413
14.3253, 1.0327
14.5649, 0.7371
14.8045, 0.7063
15.0440, 0.4185
15.2836, 0.0000
